"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"2006","Poland","Total","Age reached during the year","Number","Total","46,936",""
"2006","Poland","Total","Age reached during the year","Number","Males","27,237",""
"2006","Poland","Total","Age reached during the year","Number","Females","19,699",""
"2006","Portugal","Total","Age reached during the year","Number","Total","5,600",""
"2006","Portugal","Total","Age reached during the year","Number","Males","4,480",""
"2006","Portugal","Total","Age reached during the year","Number","Females","1,120",""
"2006","Romania","Total","Age reached during the year","Number","Total",":",""
"2006","Romania","Total","Age reached during the year","Number","Males",":",""
"2006","Romania","Total","Age reached during the year","Number","Females",":",""
"2006","Slovenia","Total","Age reached during the year","Number","Total","13,749",""
"2006","Slovenia","Total","Age reached during the year","Number","Males","10,725",""
"2006","Slovenia","Total","Age reached during the year","Number","Females","3,024",""
"2006","Slovakia","Total","Age reached during the year","Number","Total","1,735",""
"2006","Slovakia","Total","Age reached during the year","Number","Males","705",""
"2006","Slovakia","Total","Age reached during the year","Number","Females","1,030",""
"2006","Finland","Total","Age reached during the year","Number","Total","12,107",""
"2006","Finland","Total","Age reached during the year","Number","Males","6,036",""
"2006","Finland","Total","Age reached during the year","Number","Females","6,071",""
"2006","Sweden","Total","Age reached during the year","Number","Total","44,908",""
"2006","Sweden","Total","Age reached during the year","Number","Males","23,906",""
"2006","Sweden","Total","Age reached during the year","Number","Females","21,002",""
"2006","Iceland","Total","Age reached during the year","Number","Total","4,577",""
"2006","Iceland","Total","Age reached during the year","Number","Males","2,472",""
"2006","Iceland","Total","Age reached during the year","Number","Females","2,105",""
"2006","Liechtenstein","Total","Age reached during the year","Number","Total",":",""
"2006","Liechtenstein","Total","Age reached during the year","Number","Males",":",""
"2006","Liechtenstein","Total","Age reached during the year","Number","Females",":",""
"2006","Norway","Total","Age reached during the year","Number","Total","22,053",""
"2006","Norway","Total","Age reached during the year","Number","Males","11,216",""
"2006","Norway","Total","Age reached during the year","Number","Females","10,837",""
"2006","Switzerland","Total","Age reached during the year","Number","Total","88,218",""
"2006","Switzerland","Total","Age reached during the year","Number","Males","47,307",""
"2006","Switzerland","Total","Age reached during the year","Number","Females","40,911",""
"2006","United Kingdom","Total","Age reached during the year","Number","Total","369,470",""
"2006","United Kingdom","Total","Age reached during the year","Number","Males","207,949",""
"2006","United Kingdom","Total","Age reached during the year","Number","Females","161,521",""
"2006","North Macedonia","Total","Age reached during the year","Number","Total","1,108",""
"2006","North Macedonia","Total","Age reached during the year","Number","Males","605",""
"2006","North Macedonia","Total","Age reached during the year","Number","Females","503",""
"2007","Belgium","Total","Age reached during the year","Number","Total","91,052",""
"2007","Belgium","Total","Age reached during the year","Number","Males","53,390",""
"2007","Belgium","Total","Age reached during the year","Number","Females","37,662",""
"2007","Bulgaria","Total","Age reached during the year","Number","Total","2,958",""
"2007","Bulgaria","Total","Age reached during the year","Number","Males","1,119",""
"2007","Bulgaria","Total","Age reached during the year","Number","Females","1,839",""
"2007","Czechia","Total","Age reached during the year","Number","Total","20,500",""
"2007","Czechia","Total","Age reached during the year","Number","Males","12,727",""
"2007","Czechia","Total","Age reached during the year","Number","Females","7,773",""
"2007","Denmark","Total","Age reached during the year","Number","Total","41,566",""
"2007","Denmark","Total","Age reached during the year","Number","Males","22,008",""
"2007","Denmark","Total","Age reached during the year","Number","Females","19,558",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Total","636,854",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Males","391,967",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Females","244,887",""
"2007","Estonia","Total","Age reached during the year","Number","Total","4,384",""
"2007","Estonia","Total","Age reached during the year","Number","Males","2,080",""
"2007","Estonia","Total","Age reached during the year","Number","Females","2,304",""
"2007","Ireland","Total","Age reached during the year","Number","Total","48,040",""
"2007","Ireland","Total","Age reached during the year","Number","Males","28,296",""
"2007","Ireland","Total","Age reached during the year","Number","Females","19,744",""
"2007","Greece","Total","Age reached during the year","Number","Total","40,400",""
"2007","Greece","Total","Age reached during the year","Number","Males",":",""
"2007","Greece","Total","Age reached during the year","Number","Females",":",""
"2007","Spain","Total","Age reached during the year","Number","Total","227,065",""
"2007","Spain","Total","Age reached during the year","Number","Males","132,848",""
"2007","Spain","Total","Age reached during the year","Number","Females","94,217",""
"2007","France","Total","Age reached during the year","Number","Total","220,354",""
"2007","France","Total","Age reached during the year","Number","Males","109,108",""
"2007","France","Total","Age reached during the year","Number","Females","111,246",""
"2007","Croatia","Total","Age reached during the year","Number","Total","9,002",""
"2007","Croatia","Total","Age reached during the year","Number","Males","4,540",""
"2007","Croatia","Total","Age reached during the year","Number","Females","4,462",""
"2007","Italy","Total","Age reached during the year","Number","Total","51,113",""
"2007","Italy","Total","Age reached during the year","Number","Males","27,935",""
"2007","Italy","Total","Age reached during the year","Number","Females","23,178",""
"2007","Cyprus","Total","Age reached during the year","Number","Total","4,106",""
"2007","Cyprus","Total","Age reached during the year","Number","Males",":",""
"2007","Cyprus","Total","Age reached during the year","Number","Females",":",""
"2007","Latvia","Total","Age reached during the year","Number","Total","15,463",""
"2007","Latvia","Total","Age reached during the year","Number","Males","7,340",""
"2007","Latvia","Total","Age reached during the year","Number","Females","8,123",""
"2007","Lithuania","Total","Age reached during the year","Number","Total","30,383",""
"2007","Lithuania","Total","Age reached during the year","Number","Males","14,817",""
"2007","Lithuania","Total","Age reached during the year","Number","Females","15,566",""
"2007","Luxembourg","Total","Age reached during the year","Number","Total","10,674",""
"2007","Luxembourg","Total","Age reached during the year","Number","Males","5,974",""
"2007","Luxembourg","Total","Age reached during the year","Number","Females","4,700",""
"2007","Hungary","Total","Age reached during the year","Number","Total","4,500",""
"2007","Hungary","Total","Age reached during the year","Number","Males","2,728",""
"2007","Hungary","Total","Age reached during the year","Number","Females","1,772",""
"2007","Malta","Total","Age reached during the year","Number","Total","3,730",""
"2007","Malta","Total","Age reached during the year","Number","Males","2,450",""
"2007","Malta","Total","Age reached during the year","Number","Females","1,280",""
"2007","Netherlands","Total","Age reached during the year","Number","Total","91,287",""
"2007","Netherlands","Total","Age reached during the year","Number","Males","48,194",""
"2007","Netherlands","Total","Age reached during the year","Number","Females","43,093",""
"2007","Austria","Total","Age reached during the year","Number","Total","49,898","b"
"2007","Austria","Total","Age reached during the year","Number","Males","28,634",""
"2007","Austria","Total","Age reached during the year","Number","Females","21,264",""
"2007","Poland","Total","Age reached during the year","Number","Total","35,480",""
"2007","Poland","Total","Age reached during the year","Number","Males","20,874",""
"2007","Poland","Total","Age reached during the year","Number","Females","14,606",""
"2007","Portugal","Total","Age reached during the year","Number","Total","7,890",""
"2007","Portugal","Total","Age reached during the year","Number","Males","6,312",""
"2007","Portugal","Total","Age reached during the year","Number","Females","1,578",""
"2007","Romania","Total","Age reached during the year","Number","Total",":",""
"2007","Romania","Total","Age reached during the year","Number","Males",":",""
"2007","Romania","Total","Age reached during the year","Number","Females",":",""
"2007","Slovenia","Total","Age reached during the year","Number","Total","14,943",""
"2007","Slovenia","Total","Age reached during the year","Number","Males","10,696",""
"2007","Slovenia","Total","Age reached during the year","Number","Females","4,247",""
"2007","Slovakia","Total","Age reached during the year","Number","Total","1,831",""
"2007","Slovakia","Total","Age reached during the year","Number","Males","790",""
"2007","Slovakia","Total","Age reached during the year","Number","Females","1,041",""
"2007","Finland","Total","Age reached during the year","Number","Total","12,443",""
"2007","Finland","Total","Age reached during the year","Number","Males","6,215",""
"2007","Finland","Total","Age reached during the year","Number","Females","6,228",""
"2007","Sweden","Total","Age reached during the year","Number","Total","45,418",""
"2007","Sweden","Total","Age reached during the year","Number","Males","24,423",""
"2007","Sweden","Total","Age reached during the year","Number","Females","20,995",""
"2007","Iceland","Total","Age reached during the year","Number","Total","7,414",""
"2007","Iceland","Total","Age reached during the year","Number","Males","4,962",""
"2007","Iceland","Total","Age reached during the year","Number","Females","2,452",""
"2007","Liechtenstein","Total","Age reached during the year","Number","Total",":",""
"2007","Liechtenstein","Total","Age reached during the year","Number","Males",":",""
"2007","Liechtenstein","Total","Age reached during the year","Number","Females",":",""
"2007","Norway","Total","Age reached during the year","Number","Total","22,122",""
"2007","Norway","Total","Age reached during the year","Number","Males","11,762",""
"2007","Norway","Total","Age reached during the year","Number","Females","10,360",""
"2007","Switzerland","Total","Age reached during the year","Number","Total","90,175",""
"2007","Switzerland","Total","Age reached during the year","Number","Males","48,493",""
"2007","Switzerland","Total","Age reached during the year","Number","Females","41,682",""
"2007","United Kingdom","Total","Age reached during the year","Number","Total","317,587",""
"2007","United Kingdom","Total","Age reached during the year","Number","Males","178,264",""
"2007","United Kingdom","Total","Age reached during the year","Number","Females","139,323",""
"2007","North Macedonia","Total","Age reached during the year","Number","Total","240",""
"2007","North Macedonia","Total","Age reached during the year","Number","Males","134",""
"2007","North Macedonia","Total","Age reached during the year","Number","Females","106",""
"2008","Belgium","Total","Age reached during the year","Number","Total",":",""
"2008","Belgium","Total","Age reached during the year","Number","Males",":",""
"2008","Belgium","Total","Age reached during the year","Number","Females",":",""
"2008","Bulgaria","Total","Age reached during the year","Number","Total",":",""
"2008","Bulgaria","Total","Age reached during the year","Number","Males",":",""
"2008","Bulgaria","Total","Age reached during the year","Number","Females",":",""
"2008","Czechia","Total","Age reached during the year","Number","Total","51,478","b"
"2008","Czechia","Total","Age reached during the year","Number","Males","29,670","b"
"2008","Czechia","Total","Age reached during the year","Number","Females","21,808","b"
"2008","Denmark","Total","Age reached during the year","Number","Total","38,356","b"
"2008","Denmark","Total","Age reached during the year","Number","Males","20,497","b"
"2008","Denmark","Total","Age reached during the year","Number","Females","17,859","b"
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Total","737,889",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Males","448,347",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Females","289,542",""
"2008","Estonia","Total","Age reached during the year","Number","Total","4,406","b"
"2008","Estonia","Total","Age reached during the year","Number","Males","2,059","b"
"2008","Estonia","Total","Age reached during the year","Number","Females","2,347","b"
"2008","Ireland","Total","Age reached during the year","Number","Total","65,934",""
"2008","Ireland","Total","Age reached during the year","Number","Males","38,801",""
"2008","Ireland","Total","Age reached during the year","Number","Females","27,133",""
"2008","Greece","Total","Age reached during the year","Number","Total","43,044","b"
"2008","Greece","Total","Age reached during the year","Number","Males","24,112",""
"2008","Greece","Total","Age reached during the year","Number","Females","18,932",""
"2008","Spain","Total","Age reached during the year","Number","Total","288,432","b"
"2008","Spain","Total","Age reached during the year","Number","Males","169,457","b"
"2008","Spain","Total","Age reached during the year","Number","Females","118,975","b"
"2008","France","Total","Age reached during the year","Number","Total","239,796",""
"2008","France","Total","Age reached during the year","Number","Males","120,803",""
"2008","France","Total","Age reached during the year","Number","Females","118,993",""
"2008","Croatia","Total","Age reached during the year","Number","Total","10,638","b"
"2008","Croatia","Total","Age reached during the year","Number","Males","6,096","b"
"2008","Croatia","Total","Age reached during the year","Number","Females","4,542","b"
"2008","Italy","Total","Age reached during the year","Number","Total","80,947",""
"2008","Italy","Total","Age reached during the year","Number","Males","43,743",""
"2008","Italy","Total","Age reached during the year","Number","Females","37,204",""
"2008","Cyprus","Total","Age reached during the year","Number","Total",":",""
"2008","Cyprus","Total","Age reached during the year","Number","Males",":",""
"2008","Cyprus","Total","Age reached during the year","Number","Females",":",""
"2008","Latvia","Total","Age reached during the year","Number","Total","27,045",""
"2008","Latvia","Total","Age reached during the year","Number","Males","14,284",""
"2008","Latvia","Total","Age reached during the year","Number","Females","12,761",""
"2008","Lithuania","Total","Age reached during the year","Number","Total","25,750",""
"2008","Lithuania","Total","Age reached during the year","Number","Males","12,892",""
"2008","Lithuania","Total","Age reached during the year","Number","Females","12,858",""
"2008","Luxembourg","Total","Age reached during the year","Number","Total","10,058",""
"2008","Luxembourg","Total","Age reached during the year","Number","Males","5,568",""
"2008","Luxembourg","Total","Age reached during the year","Number","Females","4,490",""
"2008","Hungary","Total","Age reached during the year","Number","Total","9,591","b"
"2008","Hungary","Total","Age reached during the year","Number","Males","5,281","b"
"2008","Hungary","Total","Age reached during the year","Number","Females","4,310","b"
"2008","Malta","Total","Age reached during the year","Number","Total","3,719",""
"2008","Malta","Total","Age reached during the year","Number","Males","2,403",""
"2008","Malta","Total","Age reached during the year","Number","Females","1,316",""
"2008","Netherlands","Total","Age reached during the year","Number","Total","90,067",""
"2008","Netherlands","Total","Age reached during the year","Number","Males","47,765",""
"2008","Netherlands","Total","Age reached during the year","Number","Females","42,302",""
"2008","Austria","Total","Age reached during the year","Number","Total","51,563",""
"2008","Austria","Total","Age reached during the year","Number","Males","29,369",""
"2008","Austria","Total","Age reached during the year","Number","Females","22,194",""
"2008","Poland","Total","Age reached during the year","Number","Total","30,140",""
"2008","Poland","Total","Age reached during the year","Number","Males","16,162",""
"2008","Poland","Total","Age reached during the year","Number","Females","13,978",""
"2008","Portugal","Total","Age reached during the year","Number","Total","20,357",""
"2008","Portugal","Total","Age reached during the year","Number","Males","16,286",""
"2008","Portugal","Total","Age reached during the year","Number","Females","4,071",""
"2008","Romania","Total","Age reached during the year","Number","Total","302,796","b"
"2008","Romania","Total","Age reached during the year","Number","Males","151,164",""
"2008","Romania","Total","Age reached during the year","Number","Females","151,632",""
"2008","Slovenia","Total","Age reached during the year","Number","Total","12,109","b"
"2008","Slovenia","Total","Age reached during the year","Number","Males","8,190","b"
"2008","Slovenia","Total","Age reached during the year","Number","Females","3,919","b"
"2008","Slovakia","Total","Age reached during the year","Number","Total","1,705",""
"2008","Slovakia","Total","Age reached during the year","Number","Males","689",""
"2008","Slovakia","Total","Age reached during the year","Number","Females","1,016",""
"2008","Finland","Total","Age reached during the year","Number","Total","13,657",""
"2008","Finland","Total","Age reached during the year","Number","Males","6,994",""
"2008","Finland","Total","Age reached during the year","Number","Females","6,663",""
"2008","Sweden","Total","Age reached during the year","Number","Total","45,294",""
"2008","Sweden","Total","Age reached during the year","Number","Males","24,739",""
"2008","Sweden","Total","Age reached during the year","Number","Females","20,555",""
"2008","Iceland","Total","Age reached during the year","Number","Total","9,144",""
"2008","Iceland","Total","Age reached during the year","Number","Males","6,236",""
"2008","Iceland","Total","Age reached during the year","Number","Females","2,908",""
"2008","Liechtenstein","Total","Age reached during the year","Number","Total","490","b"
"2008","Liechtenstein","Total","Age reached during the year","Number","Males","249","b"
"2008","Liechtenstein","Total","Age reached during the year","Number","Females","241","b"
"2008","Norway","Total","Age reached during the year","Number","Total","12,976","b"
"2008","Norway","Total","Age reached during the year","Number","Males","6,847","b"
"2008","Norway","Total","Age reached during the year","Number","Females","6,129","b"
"2008","Switzerland","Total","Age reached during the year","Number","Total","86,130",""
"2008","Switzerland","Total","Age reached during the year","Number","Males","46,448",""
"2008","Switzerland","Total","Age reached during the year","Number","Females","39,682",""
"2008","United Kingdom","Total","Age reached during the year","Number","Total","427,207","b"
"2008","United Kingdom","Total","Age reached during the year","Number","Males","220,954",""
"2008","United Kingdom","Total","Age reached during the year","Number","Females","206,253",""
"2008","North Macedonia","Total","Age reached during the year","Number","Total","751",""
"2008","North Macedonia","Total","Age reached during the year","Number","Males","419",""
"2008","North Macedonia","Total","Age reached during the year","Number","Females","332",""
"2009","Belgium","Total","Age reached during the year","Number","Total",":",""
"2009","Belgium","Total","Age reached during the year","Number","Males",":",""
"2009","Belgium","Total","Age reached during the year","Number","Females",":",""
"2009","Bulgaria","Total","Age reached during the year","Number","Total",":",""
"2009","Bulgaria","Total","Age reached during the year","Number","Males",":",""
"2009","Bulgaria","Total","Age reached during the year","Number","Females",":",""
"2009","Czechia","Total","Age reached during the year","Number","Total","61,782",""
"2009","Czechia","Total","Age reached during the year","Number","Males","38,886",""
"2009","Czechia","Total","Age reached during the year","Number","Females","22,896",""
"2009","Denmark","Total","Age reached during the year","Number","Total","39,899",""
"2009","Denmark","Total","Age reached during the year","Number","Males","21,429",""
"2009","Denmark","Total","Age reached during the year","Number","Females","18,470",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Total","286,582","b"
"2009","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Males","162,224","b"
"2009","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Females","124,358","b"
"2009","Estonia","Total","Age reached during the year","Number","Total","4,658",""
"2009","Estonia","Total","Age reached during the year","Number","Males","2,090",""
"2009","Estonia","Total","Age reached during the year","Number","Females","2,568",""
"2009","Ireland","Total","Age reached during the year","Number","Total","69,672",""
"2009","Ireland","Total","Age reached during the year","Number","Males","40,869",""
"2009","Ireland","Total","Age reached during the year","Number","Females","28,803",""
"2009","Greece","Total","Age reached during the year","Number","Total","43,686",""
"2009","Greece","Total","Age reached during the year","Number","Males","24,635",""
"2009","Greece","Total","Age reached during the year","Number","Females","19,051",""
"2009","Spain","Total","Age reached during the year","Number","Total","380,121",""
"2009","Spain","Total","Age reached during the year","Number","Males","226,134",""
"2009","Spain","Total","Age reached during the year","Number","Females","153,987",""
"2009","France","Total","Age reached during the year","Number","Total","264,631",""
"2009","France","Total","Age reached during the year","Number","Males","129,816",""
"2009","France","Total","Age reached during the year","Number","Females","134,815",""
"2009","Croatia","Total","Age reached during the year","Number","Total","12,355",""
"2009","Croatia","Total","Age reached during the year","Number","Males","6,807",""
"2009","Croatia","Total","Age reached during the year","Number","Females","5,548",""
"2009","Italy","Total","Age reached during the year","Number","Total","80,597",""
"2009","Italy","Total","Age reached during the year","Number","Males","43,599",""
"2009","Italy","Total","Age reached during the year","Number","Females","36,998",""
"2009","Cyprus","Total","Age reached during the year","Number","Total","4,797","b"
"2009","Cyprus","Total","Age reached during the year","Number","Males","2,000","b"
"2009","Cyprus","Total","Age reached during the year","Number","Females","2,797","b"
"2009","Latvia","Total","Age reached during the year","Number","Total","38,208",""
"2009","Latvia","Total","Age reached during the year","Number","Males","20,445",""
"2009","Latvia","Total","Age reached during the year","Number","Females","17,763",""
"2009","Lithuania","Total","Age reached during the year","Number","Total","38,500",""
"2009","Lithuania","Total","Age reached during the year","Number","Males","21,201",""
"2009","Lithuania","Total","Age reached during the year","Number","Females","17,299",""
"2009","Luxembourg","Total","Age reached during the year","Number","Total","9,168",""
"2009","Luxembourg","Total","Age reached during the year","Number","Males","5,031",""
"2009","Luxembourg","Total","Age reached during the year","Number","Females","4,137",""
"2009","Hungary","Total","Age reached during the year","Number","Total","10,483",""
"2009","Hungary","Total","Age reached during the year","Number","Males","6,034",""
"2009","Hungary","Total","Age reached during the year","Number","Females","4,449",""
"2009","Malta","Total","Age reached during the year","Number","Total","3,868",""
"2009","Malta","Total","Age reached during the year","Number","Males","2,473",""
"2009","Malta","Total","Age reached during the year","Number","Females","1,395",""
"2009","Netherlands","Total","Age reached during the year","Number","Total","92,825","b"
"2009","Netherlands","Total","Age reached during the year","Number","Males","53,371","b"
"2009","Netherlands","Total","Age reached during the year","Number","Females","39,454","b"
"2009","Austria","Total","Age reached during the year","Number","Total","53,244",""
"2009","Austria","Total","Age reached during the year","Number","Males","30,380",""
"2009","Austria","Total","Age reached during the year","Number","Females","22,864",""
"2009","Poland","Total","Age reached during the year","Number","Total","229,320","b"
"2009","Poland","Total","Age reached during the year","Number","Males","115,188","b"
"2009","Poland","Total","Age reached during the year","Number","Females","114,132","b"
"2009","Portugal","Total","Age reached during the year","Number","Total","16,899",""
"2009","Portugal","Total","Age reached during the year","Number","Males","13,519",""
"2009","Portugal","Total","Age reached during the year","Number","Females","3,380",""
"2009","Romania","Total","Age reached during the year","Number","Total","246,626",""
"2009","Romania","Total","Age reached during the year","Number","Males","105,778",""
"2009","Romania","Total","Age reached during the year","Number","Females","140,848",""
"2009","Slovenia","Total","Age reached during the year","Number","Total","18,788",""
"2009","Slovenia","Total","Age reached during the year","Number","Males","14,816",""
"2009","Slovenia","Total","Age reached during the year","Number","Females","3,972",""
"2009","Slovakia","Total","Age reached during the year","Number","Total","1,979",""
"2009","Slovakia","Total","Age reached during the year","Number","Males","953",""
"2009","Slovakia","Total","Age reached during the year","Number","Females","1,026",""
"2009","Finland","Total","Age reached during the year","Number","Total","12,151",""
"2009","Finland","Total","Age reached during the year","Number","Males","6,260",""
"2009","Finland","Total","Age reached during the year","Number","Females","5,891",""
"2009","Sweden","Total","Age reached during the year","Number","Total","39,240",""
"2009","Sweden","Total","Age reached during the year","Number","Males","21,268",""
"2009","Sweden","Total","Age reached during the year","Number","Females","17,972",""
"2009","Iceland","Total","Age reached during the year","Number","Total","6,874","b"
"2009","Iceland","Total","Age reached during the year","Number","Males","4,247","b"
"2009","Iceland","Total","Age reached during the year","Number","Females","2,627","b"
"2009","Liechtenstein","Total","Age reached during the year","Number","Total","455",""
"2009","Liechtenstein","Total","Age reached during the year","Number","Males","226",""
"2009","Liechtenstein","Total","Age reached during the year","Number","Females","229",""
"2009","Norway","Total","Age reached during the year","Number","Total","17,072",""
"2009","Norway","Total","Age reached during the year","Number","Males","9,231",""
"2009","Norway","Total","Age reached during the year","Number","Females","7,841",""
"2009","Switzerland","Total","Age reached during the year","Number","Total","86,036",""
"2009","Switzerland","Total","Age reached during the year","Number","Males","46,503",""
"2009","Switzerland","Total","Age reached during the year","Number","Females","39,533",""
"2009","United Kingdom","Total","Age reached during the year","Number","Total","368,177",""
"2009","United Kingdom","Total","Age reached during the year","Number","Males","208,246",""
"2009","United Kingdom","Total","Age reached during the year","Number","Females","159,931",""
"2009","North Macedonia","Total","Age reached during the year","Number","Total","792",""
"2009","North Macedonia","Total","Age reached during the year","Number","Males","446",""
"2009","North Macedonia","Total","Age reached during the year","Number","Females","346",""
"2010","Belgium","Total","Age reached during the year","Number","Total","66,013","b"
"2010","Belgium","Total","Age reached during the year","Number","Males","37,024","b"
"2010","Belgium","Total","Age reached during the year","Number","Females","28,989","b"
"2010","Bulgaria","Total","Age reached during the year","Number","Total",":",""
"2010","Bulgaria","Total","Age reached during the year","Number","Males",":",""
"2010","Bulgaria","Total","Age reached during the year","Number","Females",":",""
"2010","Czechia","Total","Age reached during the year","Number","Total","61,069",""
"2010","Czechia","Total","Age reached during the year","Number","Males","37,421",""
"2010","Czechia","Total","Age reached during the year","Number","Females","23,648",""
"2010","Denmark","Total","Age reached during the year","Number","Total","41,456",""
"2010","Denmark","Total","Age reached during the year","Number","Males","21,531",""
"2010","Denmark","Total","Age reached during the year","Number","Females","19,925",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Total","252,456",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Males","142,833",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Number","Females","109,623",""
"2010","Estonia","Total","Age reached during the year","Number","Total","5,294",""
"2010","Estonia","Total","Age reached during the year","Number","Males","2,520",""
"2010","Estonia","Total","Age reached during the year","Number","Females","2,774",""
"2010","Ireland","Total","Age reached during the year","Number","Total","78,099",""
"2010","Ireland","Total","Age reached during the year","Number","Males","41,517",""
"2010","Ireland","Total","Age reached during the year","Number","Females","36,582",""
"2010","Greece","Total","Age reached during the year","Number","Total","62,041","b"
"2010","Greece","Total","Age reached during the year","Number","Males","32,948",""
"2010","Greece","Total","Age reached during the year","Number","Females","29,093",""
"2010","Spain","Total","Age reached during the year","Number","Total","403,377",""
"2010","Spain","Total","Age reached during the year","Number","Males","238,195",""
"2010","Spain","Total","Age reached during the year","Number","Females","165,182",""
"2010","France","Total","Age reached during the year","Number","Total","269,531","b"
"2010","France","Total","Age reached during the year","Number","Males","130,374","b"
"2010","France","Total","Age reached during the year","Number","Females","139,157","b"
"2010","Croatia","Total","Age reached during the year","Number","Total","13,017",""
"2010","Croatia","Total","Age reached during the year","Number","Males","7,340",""
