"TIME","GEO","SEX","AGE","UNIT","ISCED11","Value","Flag and Footnotes"
"2006","Czechia","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","62.6",""
"2006","Czechia","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","34.8",""
"2006","Czechia","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","63.2",""
"2006","Czechia","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Czechia","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","72.7",""
"2006","Czechia","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","44.9",""
"2006","Czechia","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","73.9",""
"2006","Czechia","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Czechia","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","52.0",""
"2006","Czechia","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","24.8",""
"2006","Czechia","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","51.4",""
"2006","Czechia","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Denmark","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","77.1",""
"2006","Denmark","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","70.0",""
"2006","Denmark","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","77.3",""
"2006","Denmark","Total","From 20 to 29 years","Percentage","No response",":","u"
"2006","Denmark","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","81.4",""
"2006","Denmark","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","79.0",""
"2006","Denmark","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","81.6",""
"2006","Denmark","Males","From 20 to 29 years","Percentage","No response",":","u"
"2006","Denmark","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","72.8",""
"2006","Denmark","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","58.4",""
"2006","Denmark","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","72.9",""
"2006","Denmark","Females","From 20 to 29 years","Percentage","No response",":","u"
"2006","Germany (until 1990 former territory of the FRG)","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","66.4","b"
"2006","Germany (until 1990 former territory of the FRG)","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","54.2","b"
"2006","Germany (until 1990 former territory of the FRG)","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","67.5","b"
"2006","Germany (until 1990 former territory of the FRG)","Total","From 20 to 29 years","Percentage","No response",":","bu"
"2006","Germany (until 1990 former territory of the FRG)","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","69.2","b"
"2006","Germany (until 1990 former territory of the FRG)","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","62.7","b"
"2006","Germany (until 1990 former territory of the FRG)","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","69.0","b"
"2006","Germany (until 1990 former territory of the FRG)","Males","From 20 to 29 years","Percentage","No response",":","bu"
"2006","Germany (until 1990 former territory of the FRG)","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","63.5","b"
"2006","Germany (until 1990 former territory of the FRG)","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","45.1","b"
"2006","Germany (until 1990 former territory of the FRG)","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","66.0","b"
"2006","Germany (until 1990 former territory of the FRG)","Females","From 20 to 29 years","Percentage","No response",":","bu"
"2006","Estonia","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","68.5",""
"2006","Estonia","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","61.2",""
"2006","Estonia","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","63.8",""
"2006","Estonia","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Estonia","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","77.4",""
"2006","Estonia","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","67.2",""
"2006","Estonia","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","76.4",""
"2006","Estonia","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Estonia","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","59.2",""
"2006","Estonia","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","46.4",""
"2006","Estonia","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","50.6",""
"2006","Estonia","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Ireland","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","77.1",""
"2006","Ireland","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","62.4",""
"2006","Ireland","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","75.4",""
"2006","Ireland","Total","From 20 to 29 years","Percentage","No response","76.5",""
"2006","Ireland","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","81.8",""
"2006","Ireland","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","73.7",""
"2006","Ireland","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","81.6",""
"2006","Ireland","Males","From 20 to 29 years","Percentage","No response","86.8",""
"2006","Ireland","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","72.2",""
"2006","Ireland","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","44.3",""
"2006","Ireland","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","68.4",""
"2006","Ireland","Females","From 20 to 29 years","Percentage","No response","62.6",""
"2006","Greece","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","57.6",""
"2006","Greece","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","68.2",""
"2006","Greece","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","49.9",""
"2006","Greece","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Greece","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","66.3",""
"2006","Greece","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","83.1",""
"2006","Greece","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","57.2",""
"2006","Greece","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Greece","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","48.5",""
"2006","Greece","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","41.5",""
"2006","Greece","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","42.9",""
"2006","Greece","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Spain","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","69.0","b"
"2006","Spain","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","72.3","b"
"2006","Spain","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","60.5","b"
"2006","Spain","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Spain","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","74.8","b"
"2006","Spain","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","80.2","b"
"2006","Spain","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","65.7","b"
"2006","Spain","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Spain","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","62.9","b"
"2006","Spain","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","60.2","b"
"2006","Spain","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","55.4","b"
"2006","Spain","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","France","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","63.6","b"
"2006","France","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","52.9","b"
"2006","France","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","62.4","b"
"2006","France","Total","From 20 to 29 years","Percentage","No response",":","bu"
"2006","France","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","68.7","b"
"2006","France","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","62.3","b"
"2006","France","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","69.4","b"
"2006","France","Males","From 20 to 29 years","Percentage","No response",":","bc"
"2006","France","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","58.8","b"
"2006","France","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","41.5","b"
"2006","France","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","55.0","b"
"2006","France","Females","From 20 to 29 years","Percentage","No response",":","bc"
"2006","Croatia","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","55.9","b"
"2006","Croatia","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","48.2","bu"
"2006","Croatia","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","53.9","b"
"2006","Croatia","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Croatia","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","60.7","b"
"2006","Croatia","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","58.0","bu"
"2006","Croatia","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","59.0","b"
"2006","Croatia","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Croatia","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","50.3","b"
"2006","Croatia","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","34.7","bu"
"2006","Croatia","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","47.7","b"
"2006","Croatia","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Italy","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","54.3",""
"2006","Italy","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","58.2",""
"2006","Italy","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","52.9",""
"2006","Italy","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Italy","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","62.5",""
"2006","Italy","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","71.4",""
"2006","Italy","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","59.3",""
"2006","Italy","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Italy","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","45.9",""
"2006","Italy","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","39.6",""
"2006","Italy","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","46.7",""
"2006","Italy","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Cyprus","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","74.7",""
"2006","Cyprus","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","79.9",""
"2006","Cyprus","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","67.8",""
"2006","Cyprus","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Cyprus","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","79.3",""
"2006","Cyprus","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","87.9",""
"2006","Cyprus","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","73.8",""
"2006","Cyprus","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Cyprus","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","70.3",""
"2006","Cyprus","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","67.0",""
"2006","Cyprus","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","59.9",""
"2006","Cyprus","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Latvia","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","68.5",""
"2006","Latvia","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","61.3",""
"2006","Latvia","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","66.7",""
"2006","Latvia","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Latvia","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","77.9",""
"2006","Latvia","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","71.8",""
"2006","Latvia","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","77.7",""
"2006","Latvia","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Latvia","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","59.0",""
"2006","Latvia","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","43.3",""
"2006","Latvia","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","56.0",""
"2006","Latvia","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Lithuania","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","62.3",""
"2006","Lithuania","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","53.9",""
"2006","Lithuania","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","55.5",""
"2006","Lithuania","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Lithuania","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","66.9",""
"2006","Lithuania","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","60.1",""
"2006","Lithuania","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","62.6",""
"2006","Lithuania","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Lithuania","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","57.7",""
"2006","Lithuania","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","44.5","u"
"2006","Lithuania","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","47.7",""
"2006","Lithuania","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Luxembourg","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","62.2",""
"2006","Luxembourg","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","57.3",""
"2006","Luxembourg","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","58.0",""
"2006","Luxembourg","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Luxembourg","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","67.3",""
"2006","Luxembourg","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","65.0",""
"2006","Luxembourg","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","62.6",""
"2006","Luxembourg","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Luxembourg","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","57.0",""
"2006","Luxembourg","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","47.3",""
"2006","Luxembourg","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","53.6",""
"2006","Luxembourg","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Hungary","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","56.6",""
"2006","Hungary","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","39.7",""
"2006","Hungary","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","55.4",""
"2006","Hungary","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Hungary","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","64.8",""
"2006","Hungary","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","52.2",""
"2006","Hungary","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","64.3",""
"2006","Hungary","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Hungary","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","48.3",""
"2006","Hungary","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","24.9",""
"2006","Hungary","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","45.9",""
"2006","Hungary","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Malta","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","74.2",""
"2006","Malta","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","70.6",""
"2006","Malta","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","72.9",""
"2006","Malta","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Malta","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","81.7",""
"2006","Malta","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","83.4",""
"2006","Malta","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","77.4",""
"2006","Malta","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Malta","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","66.3",""
"2006","Malta","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","55.7",""
"2006","Malta","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","68.0",""
"2006","Malta","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Netherlands","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","78.2","b"
"2006","Netherlands","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","68.6","b"
"2006","Netherlands","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","78.0","b"
"2006","Netherlands","Total","From 20 to 29 years","Percentage","No response","70.1","b"
"2006","Netherlands","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","81.2","b"
"2006","Netherlands","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","77.6","b"
"2006","Netherlands","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","80.0","b"
"2006","Netherlands","Males","From 20 to 29 years","Percentage","No response","77.0","b"
"2006","Netherlands","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","75.3","b"
"2006","Netherlands","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","56.3","b"
"2006","Netherlands","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","75.9","b"
"2006","Netherlands","Females","From 20 to 29 years","Percentage","No response","62.9","b"
"2006","Austria","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","73.1",""
"2006","Austria","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","57.0","b"
"2006","Austria","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","74.6","b"
"2006","Austria","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Austria","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","76.2",""
"2006","Austria","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","63.9","b"
"2006","Austria","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","77.2","b"
"2006","Austria","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Austria","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","69.9",""
"2006","Austria","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","50.7","b"
"2006","Austria","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","71.8","b"
"2006","Austria","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Poland","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","55.3",""
"2006","Poland","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","34.9",""
"2006","Poland","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","51.8",""
"2006","Poland","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Poland","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","61.5",""
"2006","Poland","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","42.1",""
"2006","Poland","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","60.3",""
"2006","Poland","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Poland","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","49.0",""
"2006","Poland","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","23.7",""
"2006","Poland","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","42.6",""
"2006","Poland","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Portugal","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","66.7",""
"2006","Portugal","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","75.9",""
"2006","Portugal","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","49.6",""
"2006","Portugal","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Portugal","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","71.7",""
"2006","Portugal","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","81.4",""
"2006","Portugal","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","52.5",""
"2006","Portugal","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Portugal","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","61.7",""
"2006","Portugal","Females","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","68.5",""
"2006","Portugal","Females","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","47.1",""
"2006","Portugal","Females","From 20 to 29 years","Percentage","No response",":",""
"2006","Romania","Total","From 20 to 29 years","Percentage","All ISCED 2011 levels ","54.7",""
"2006","Romania","Total","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","52.2",""
"2006","Romania","Total","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","51.3",""
"2006","Romania","Total","From 20 to 29 years","Percentage","No response",":",""
"2006","Romania","Males","From 20 to 29 years","Percentage","All ISCED 2011 levels ","58.9",""
"2006","Romania","Males","From 20 to 29 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","60.2",""
"2006","Romania","Males","From 20 to 29 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","55.3",""
"2006","Romania","Males","From 20 to 29 years","Percentage","No response",":",""
"2006","Romania","Females","From 20 to 29 years","Percentage","All ISCED 2011 levels ","50.4",""
